"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 23 09:42:07 BRT 2026","Sat May 23 09:42:09 BRT 2026","2072","","serverrest.test.usuario.UsuarioModelo2Test","","serverrest.test.usuario.UsuarioModelo2Test","deveListarUsuarioPorId","deveListarUsuarioPorId()",""
"passed","Sat May 23 09:42:13 BRT 2026","Sat May 23 09:42:14 BRT 2026","1498","","serverrest.test.usuario.UsuarioTest","","serverrest.test.usuario.UsuarioTest","naoDeveCadastrarUsuarioComEmailDuplicado","naoDeveCadastrarUsuarioComEmailDuplicado()",""
"passed","Sat May 23 09:42:01 BRT 2026","Sat May 23 09:42:03 BRT 2026","2100","","serverrest.test.usuario.ContratoTest","","serverrest.test.usuario.ContratoTest","deveValidarContratoDeUsuarios","deveValidarContratoDeUsuarios()","Teste de contrato para cadastrar usuário"
"passed","Sat May 23 09:41:52 BRT 2026","Sat May 23 09:41:53 BRT 2026","901","","serverrest.test.login.LoginModeloDoisTest","","serverrest.test.login.LoginModeloDoisTest","deveFazerLoginComSucesso","deveFazerLoginComSucesso()",""
"passed","Sat May 23 09:41:42 BRT 2026","Sat May 23 09:41:43 BRT 2026","570","","serverrest.CarrinhoTest","","serverrest.CarrinhoTest","naoDeveCadastrarCarrinhoSemToken","naoDeveCadastrarCarrinhoSemToken()","Nao deve cadastrar carrinho sem token de autenticacao"
"passed","Sat May 23 09:41:58 BRT 2026","Sat May 23 09:41:59 BRT 2026","831","","serverrest.test.produto.ProdutoTest","","serverrest.test.produto.ProdutoTest","deveCadastrarProdutocomSucesso","deveCadastrarProdutocomSucesso()",""
"passed","Sat May 23 09:41:54 BRT 2026","Sat May 23 09:41:55 BRT 2026","761","","serverrest.test.login.LoginTest","","serverrest.test.login.LoginTest","deveFazerLoginComSucesso","deveFazerLoginComSucesso()",""
"passed","Sat May 23 09:41:49 BRT 2026","Sat May 23 09:41:49 BRT 2026","726","","serverrest.test.carrinho.CarrinhoTest","","serverrest.test.carrinho.CarrinhoTest","deveBuscarCarrinhoPorId","deveBuscarCarrinhoPorId()",""
"passed","Sat May 23 09:41:49 BRT 2026","Sat May 23 09:41:50 BRT 2026","667","","serverrest.test.carrinho.CarrinhoTest","","serverrest.test.carrinho.CarrinhoTest","naoDeveCriarDoisCarrinhosParaOMesmoUsuario","naoDeveCriarDoisCarrinhosParaOMesmoUsuario()",""
"passed","Sat May 23 09:41:59 BRT 2026","Sat May 23 09:42:01 BRT 2026","1309","","serverrest.test.produto.ProdutoTest","","serverrest.test.produto.ProdutoTest","deveListarProdutos","deveListarProdutos()",""
"passed","Sat May 23 09:42:15 BRT 2026","Sat May 23 09:42:16 BRT 2026","491","","serverrest.test.usuario.UsuarioTest","","serverrest.test.usuario.UsuarioTest","deveCadastrarNovoUsuario","deveCadastrarNovoUsuario()",""
"passed","Sat May 23 09:31:03 BRT 2026","Sat May 23 09:31:03 BRT 2026","0","","serverrest.CarrinhoTest","","serverrest.CarrinhoTest","criarUsuarioComSucesso","criarUsuarioComSucesso()",""
"passed","Sat May 23 09:42:09 BRT 2026","Sat May 23 09:42:10 BRT 2026","1057","","serverrest.test.usuario.UsuarioModelo2Test","","serverrest.test.usuario.UsuarioModelo2Test","deveCadastrarNovoUsuario","deveCadastrarNovoUsuario()",""
"passed","Sat May 23 09:31:01 BRT 2026","Sat May 23 09:31:03 BRT 2026","1741","","serverrest.CarrinhoTest","","serverrest.CarrinhoTest","teste01","teste01()",""
"passed","Sat May 23 09:42:01 BRT 2026","Sat May 23 09:42:01 BRT 2026","760","","serverrest.test.produto.ProdutoTest","","serverrest.test.produto.ProdutoTest","naoDeveCadastrarProdutoSemToken","naoDeveCadastrarProdutoSemToken()",""
"passed","Sat May 23 09:42:14 BRT 2026","Sat May 23 09:42:15 BRT 2026","733","","serverrest.test.usuario.UsuarioTest","","serverrest.test.usuario.UsuarioTest","deveCadastrarNovoUsuarioEListar","deveCadastrarNovoUsuarioEListar()",""
"passed","Sat May 23 09:41:50 BRT 2026","Sat May 23 09:41:51 BRT 2026","697","","serverrest.test.carrinho.CarrinhoTest","","serverrest.test.carrinho.CarrinhoTest","naoDeveCriarCarrinhoSemToken","naoDeveCriarCarrinhoSemToken()",""
"passed","Sat May 23 09:41:53 BRT 2026","Sat May 23 09:41:54 BRT 2026","739","","serverrest.test.login.LoginModeloDoisTest","","serverrest.test.login.LoginModeloDoisTest","deveFalharLoginComSenhaInvalida","deveFalharLoginComSenhaInvalida()",""
"passed","Sat May 23 09:41:55 BRT 2026","Sat May 23 09:41:56 BRT 2026","1316","","serverrest.test.login.LoginTest","","serverrest.test.login.LoginTest","deveFalharLoginComSenhaInvalida","deveFalharLoginComSenhaInvalida()",""
"passed","Sat May 23 09:42:10 BRT 2026","Sat May 23 09:42:12 BRT 2026","2356","","serverrest.test.usuario.UsuarioModelo2Test","","serverrest.test.usuario.UsuarioModelo2Test","deveListarUsuarios","deveListarUsuarios()",""
"passed","Sat May 23 09:41:43 BRT 2026","Sat May 23 09:41:44 BRT 2026","1060","","serverrest.CarrinhoTest","","serverrest.CarrinhoTest","deveCadastrarCarrinhoComSucesso","deveCadastrarCarrinhoComSucesso()","Deve cadastrar um carrinho com produto valido e token valido"
"passed","Sat May 23 09:42:16 BRT 2026","Sat May 23 09:42:17 BRT 2026","826","","serverrest.test.usuario.UsuarioTest","","serverrest.test.usuario.UsuarioTest","deveListarUsuarios","deveListarUsuarios()",""
"failed","Sat May 23 08:52:52 BRT 2026","Sat May 23 08:52:52 BRT 2026","0","","serverrest.test.carrinho.CarrinhoTest","","serverrest.test.carrinho.CarrinhoTest","","CarrinhoTest",""
"passed","Sat May 23 09:41:44 BRT 2026","Sat May 23 09:41:44 BRT 2026","652","","serverrest.CarrinhoTest","","serverrest.CarrinhoTest","deveCancelarCompraERepoeEstoque","deveCancelarCompraERepoeEstoque()","Deve cancelar a compra, excluir o carrinho e repor o estoque dos produtos"
"passed","Sat May 23 09:41:41 BRT 2026","Sat May 23 09:41:42 BRT 2026","1267","","serverrest.CarrinhoTest","","serverrest.CarrinhoTest","deveListarCarrinhos","deveListarCarrinhos()","Deve listar todos os carrinhos cadastrados"
"passed","Sat May 23 09:42:05 BRT 2026","Sat May 23 09:42:07 BRT 2026","1514","","serverrest.test.usuario.UsuarioModelo2Test","","serverrest.test.usuario.UsuarioModelo2Test","naoDeveCadastrarUsuarioComEmailDuplicado","naoDeveCadastrarUsuarioComEmailDuplicado()",""
"passed","Sat May 23 09:41:48 BRT 2026","Sat May 23 09:41:49 BRT 2026","956","","serverrest.test.carrinho.CarrinhoTest","","serverrest.test.carrinho.CarrinhoTest","deveListarCarrinhos","deveListarCarrinhos()",""
